OTUID	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S48	S49	S5	S53	S54	S55	S6	S60	S63	S64	S67	S69	S7	S8	S9	taxonomy
463bcebbc3ffbdf8fb96299d3d929d30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Fungi
9b8f4e871598c93e9a4228397586c414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	k__Fungi
8661d3f05ff84c061c79d090a65d01db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Fungi
2fb6e262c622e3a00f33651f8da41743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	k__Fungi
cf37eb52f5a33a2d33f92a7f3fca8472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Dothideomycetes;_o__Capnodiales;_f__unidentified;_g__unidentified;_s__unidentified
2ab6a4c2173ca7238049178aa0c652d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Eurotiomycetes;_o__Chaetothyriales
c1f11ac0cfd0cda6d2a5fae3bf164534	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Leotiomycetes;_o__Helotiales;_f__unidentified;_g__unidentified;_s__unidentified
3567a0900762bb83605f9af7f2709151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Basidiomycota;_c__Agaricomycetes;_o__Boletales;_f__Tapinellaceae;_g__Tapinella;_s__Tapinella_panuoides
7699e8cd14e0283083f606093751ea80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	k__Fungi
bcc825378ea346ff8d37a987deaf84d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;_p__Ascomycota;_c__Sordariomycetes;_o__Coniochaetales;_f__Coniochaetaceae;_g__Coniochaeta
