SampleID,Sample,Moisture_Content,pH_,PO4,TN,TC,Cd,Co,Cu,Fe,Mn,Ni,Pb,Zn,Temperature,pH
S26,6.1,0.808943089,9,22.40384615,0.228479622,2.617934838,0.023856859,0,45.12922465,9.940357853,17.13717694,0.023856859,0.55666004,8.508946322,20.7,>8
S27,6.2,0.369175627,6.6,16.94117647,0.310356092,7.562904351,0.059760956,0,1.075697211,86.45418327,28.68525896,0.099601594,2.589641434,6.573705179,19.8,6-8
S28,6.3,0.211009174,4.8,8.380582524,0.203688332,5.187752235,0.001992032,0.059760956,5.976095618,205.3784861,54.18326693,0.179282869,6.175298805,3.585657371,17,<6
S29,6.4,0.21402214,4.2,9.362376238,0.46794921,18.1795323,0.139442231,0.3187251,9.561752988,544.8207171,82.27091633,0.756972112,15.53784861,10.75697211,15.1,<6
S3,1.3,0.194174757,5.91,5.928712871,0.132269372,1.965752655,0.095238095,0.111111111,1.785714286,70.23809524,61.38888889,0.214285714,0.873015873,2.619047619,16.8,<6
S30,6.5,0.173553719,4.6,6.524752475,0.25,7.039492,0.007952286,0.238568588,2.385685885,319.8807157,72.56461233,0.27833002,9.940357853,2.385685885,15.3,<6
S31,7.1,0.614130435,8.5,13.87884615,0.124707308,1.349260149,0.011904762,0.015873016,68.25396825,10.79365079,9.920634921,0.031746032,2.063492063,7.738095238,19.7,>8
S32,7.2,0.703557312,7.5,5.967307692,0.172260645,2.199461255,0.088709677,0.02016129,0.60483871,24.35483871,16.65322581,0.084677419,0.685483871,1.048387097,25.7,6-8
S33,7.3,0.528735632,8.6,15.61188119,0.123195538,1.165416225,0.035714286,0.015873016,9.206349206,10.11904762,11.03174603,0.031746032,0.714285714,2.063492063,18.5,>8
S34,7.4,0.490697674,8.1,22.8,0.211705667,2.208128201,0.009960159,0,7.768924303,11.35458167,16.93227092,0.013944223,1.274900398,2.19123506,21,>8
S35,7.5,0.495073892,8.8,17.50891089,0.150325894,1.474841447,0,0,1.72,6.8,9.6,0,0.62,0.86,15.5,>8
S36,8.1,0.368131868,8.97,23.21678322,0.199354503,1.806146941,0.052,0.024,7.92,12,19.8,0.076,1.28,1.72,23,>8
S37,8.2,0.248587571,6.59,2.678,0.188646561,2.300101131,0.107569721,0.115537849,24.50199203,66.69322709,74.42231076,0.219123506,2.35059761,2.669322709,19.1,6-8
